Date,Open,High,Low,Close,Volume
2024-04-12,84.13,85.47,83.44,83.97,711508
2024-04-15,82.19,83.42,80.96,82.75,568308
2024-04-16,83.54,84.84,82.21,84.17,117110
2024-04-17,86.57,86.71,85.7,85.75,547395
2024-04-18,86.48,88.02,86.57,86.66,361683
2024-04-19,85.41,86.19,83.86,85.88,1263115
2024-04-22,85.01,85.97,84.38,85.57,416436
2024-04-23,86.02,87.57,83.99,85.73,1104396
2024-04-24,85.21,85.56,83.93,85.02,1221221
2024-04-25,87.0,87.57,86.38,86.75,666279
2024-04-26,86.19,88.8,86.8,86.91,166623
2024-04-29,84.76,85.49,83.33,84.1,170782
2024-04-30,84.26,85.17,83.09,84.45,150059
2024-05-01,83.8,85.55,83.28,84.11,1504336
2024-05-02,83.98,84.08,82.59,84.04,704218
2024-05-03,83.5,85.22,83.49,83.68,1612970
2024-05-06,85.1,85.52,84.22,84.49,920292
2024-05-07,86.38,87.38,84.69,85.64,960696
2024-05-08,85.6,87.99,84.49,85.94,1074476
2024-05-09,86.22,87.58,84.09,85.6,1454759
2024-05-10,86.04,87.5,83.49,85.56,619655
2024-05-13,86.33,86.69,85.2,85.59,331015
2024-05-14,84.35,85.54,83.62,84.78,1156508
2024-05-15,85.5,86.36,83.93,85.37,721257
2024-05-16,85.46,87.33,84.71,85.85,940733
2024-05-17,88.02,89.38,87.05,87.45,1329198
2024-05-20,87.89,89.23,86.83,88.77,1038838
2024-05-21,88.16,90.07,87.74,88.05,1278529
2024-05-22,88.64,90.74,88.7,88.93,1133980
2024-05-23,87.61,90.07,87.8,87.92,1505613
2024-05-24,88.93,90.62,87.33,88.67,1441279
2024-05-27,88.74,88.74,86.4,88.12,1114960
2024-05-28,87.24,87.28,85.69,87.05,1389915
2024-05-29,87.97,87.6,85.89,87.35,1759763
2024-05-30,84.16,85.18,82.82,84.56,921315
2024-05-31,82.82,84.06,81.98,82.79,884249
2024-06-03,82.54,84.28,81.54,82.62,1552066
2024-06-04,81.9,84.57,82.43,82.71,1206852
2024-06-05,82.44,83.63,80.36,82.35,234912
2024-06-06,81.06,80.81,80.08,80.8,1795012
2024-06-07,80.17,80.39,79.55,80.02,158487
2024-06-10,80.78,80.6,79.92,80.4,1521953
2024-06-11,81.09,81.71,80.74,80.97,1541708
2024-06-12,80.26,81.97,80.41,80.96,1910911
2024-06-13,81.46,82.18,81.94,82.09,202855
2024-06-14,82.65,83.21,81.11,82.49,1234028
2024-06-17,81.39,82.13,80.74,81.76,912897
2024-06-18,80.8,82.81,79.48,81.49,728202
2024-06-19,80.02,81.06,78.14,80.13,271605
