Date,Open,High,Low,Close,Volume
2024-04-12,81.28,81.77,80.42,80.55,784718
2024-04-15,81.55,81.72,79.0,80.74,911113
2024-04-16,81.2,81.63,80.37,81.41,1965643
2024-04-17,81.35,82.25,80.17,81.68,1589441
2024-04-18,82.97,84.21,81.87,82.38,1804687
2024-04-19,83.05,83.36,81.66,82.23,933648
2024-04-22,82.4,83.04,80.42,82.19,544744
2024-04-23,83.88,83.54,83.13,83.39,882540
2024-04-24,87.01,88.06,84.75,86.52,1460574
2024-04-25,84.35,86.08,84.16,84.59,307917
2024-04-26,84.59,85.76,83.31,84.46,613891
2024-04-29,83.42,83.93,81.48,82.87,188608
2024-04-30,85.31,85.91,83.2,84.99,921460
2024-05-01,83.39,85.45,82.45,84.2,1672146
2024-05-02,81.99,82.74,81.56,82.26,146861
2024-05-03,82.51,85.06,82.17,83.1,1383114
2024-05-06,84.97,86.69,83.55,85.43,1871742
2024-05-07,87.04,87.01,84.42,86.34,550162
2024-05-08,85.83,87.6,84.62,86.63,1417906
2024-05-09,86.72,88.97,86.65,87.21,1952693
2024-05-10,88.85,89.55,88.55,89.19,1928328
2024-05-13,88.16,88.59,85.88,87.95,546365
2024-05-14,87.86,89.29,86.83,87.8,290629
2024-05-15,86.68,87.86,85.18,87.17,381736
2024-05-16,84.98,87.24,85.34,85.55,1433867
2024-05-17,84.66,85.39,84.91,85.11,1478941
2024-05-20,86.62,88.27,85.97,86.62,1381049
2024-05-21,87.01,87.56,87.25,87.41,738548
2024-05-22,89.11,88.35,87.9,88.32,422576
2024-05-23,88.47,90.52,88.15,88.53,1203446
2024-05-24,88.49,90.58,88.32,89.28,1018992
2024-05-27,88.55,88.93,86.62,88.15,1484784
2024-05-28,87.42,88.23,86.0,87.72,938584
2024-05-29,88.26,89.35,86.51,87.99,743415
2024-05-30,88.0,89.51,87.57,88.39,657609
2024-05-31,88.98,91.05,87.01,88.85,501793
2024-06-03,89.14,90.84,87.02,88.66,604918
2024-06-04,88.88,89.53,86.96,88.13,280177
2024-06-05,92.15,93.62,90.81,92.59,759028
2024-06-06,93.63,95.09,92.97,93.94,169482
2024-06-07,94.5,96.18,94.39,94.57,454186
2024-06-10,95.04,94.47,93.64,94.23,1518863
2024-06-11,94.3,94.32,92.77,93.55,718391
2024-06-12,92.6,93.55,92.4,93.37,1369650
