Date,Open,High,Low,Close,Volume
2024-04-12,170.03,173.34,166.19,169.12,1828290
2024-04-15,167.78,170.64,167.25,168.84,1371480
2024-04-16,169.69,172.21,168.28,170.29,1675644
2024-04-17,173.44,174.41,171.21,173.7,1770059
2024-04-18,173.23,176.64,169.44,173.2,1186367
2024-04-19,171.81,175.69,172.21,172.7,1083148
2024-04-22,174.92,177.25,173.86,176.28,917812
2024-04-23,178.46,178.44,174.48,178.07,702198
2024-04-24,176.26,180.02,174.21,177.01,925732
2024-04-25,178.59,181.22,175.69,178.3,1570371
2024-04-26,176.02,178.46,176.49,177.25,1243654
2024-04-29,176.14,180.4,175.04,176.21,1795794
2024-04-30,176.92,177.47,175.78,176.8,942422
2024-05-01,170.88,174.29,168.17,172.43,1253470
2024-05-02,168.05,172.58,166.14,168.6,1299484
2024-05-03,166.17,169.15,165.22,167.39,1224224
2024-05-06,163.78,167.86,161.17,165.22,1435004
2024-05-07,167.56,167.58,162.86,165.93,551123
2024-05-08,163.42,165.12,163.02,164.0,1073491
2024-05-09,162.02,164.98,157.55,161.02,298027
2024-05-10,163.3,165.79,162.2,164.11,830571
2024-05-13,164.25,167.32,160.45,163.66,1026567
2024-05-14,164.68,164.77,159.78,163.83,1339226
2024-05-15,161.14,161.69,157.78,160.83,1906008
2024-05-16,159.63,159.84,159.62,159.72,1241237
2024-05-17,159.7,162.59,159.19,159.98,1512828
2024-05-20,157.13,159.06,157.45,157.61,1061905
2024-05-21,159.77,161.83,156.38,158.41,1304797
2024-05-22,158.24,159.06,153.7,157.2,234771
2024-05-23,158.09,160.42,154.86,156.63,583344
2024-05-24,154.27,156.16,153.32,155.44,787520
2024-05-27,159.95,162.67,158.59,159.21,997737
2024-05-28,160.61,162.3,155.62,159.21,186732
2024-05-29,156.05,160.08,155.04,157.05,366045
2024-05-30,157.38,162.11,155.39,158.76,625947
2024-05-31,157.02,159.24,153.63,156.27,1945912
2024-06-03,156.95,159.17,155.69,156.72,729559
2024-06-04,153.79,153.25,150.75,152.75,1015878
2024-06-05,149.06,150.26,147.8,150.14,472585
2024-06-06,151.44,154.02,148.27,150.55,1260482
2024-06-07,151.12,154.37,149.98,152.03,633298
2024-06-10,151.36,155.42,151.57,152.39,493285
2024-06-11,151.17,154.02,151.78,152.19,1081487
2024-06-12,152.57,152.06,151.45,151.62,110461
2024-06-13,149.23,149.21,147.95,148.74,114561
2024-06-14,147.44,149.9,144.85,147.37,516230
2024-06-17,146.11,148.1,145.38,146.52,169770
2024-06-18,149.68,149.3,146.47,148.56,305248
2024-06-19,148.93,151.08,146.47,149.25,743835
2024-06-20,146.77,146.08,145.27,145.85,1624912
2024-06-21,146.31,148.62,142.97,146.49,1186892
2024-06-24,145.43,146.77,145.43,145.79,1074068
2024-06-25,144.42,147.41,142.58,144.53,657628
2024-06-26,145.12,146.83,144.38,145.7,1870332
2024-06-27,148.41,149.36,146.42,147.68,854328
2024-06-28,149.51,149.54,149.11,149.5,265476
2024-07-01,147.1,148.16,146.55,147.89,1272426
2024-07-02,148.51,148.78,145.91,147.33,316292
2024-07-03,147.65,149.77,144.54,147.99,755923
2024-07-04,150.02,152.14,148.09,149.89,1064082
2024-07-05,150.19,150.07,145.81,148.98,1761022
2024-07-08,149.02,151.23,147.67,148.65,1037738
2024-07-09,145.42,149.69,144.75,146.54,1434291
2024-07-10,145.56,147.1,143.14,144.29,1986351
2024-07-11,146.21,145.98,142.35,145.84,349829
2024-07-12,147.94,150.21,145.03,148.43,621989
2024-07-15,147.25,148.71,147.27,148.32,849694
2024-07-16,151.16,151.19,146.79,150.28,901473
2024-07-17,151.38,154.75,147.51,151.02,880940
2024-07-18,149.88,150.31,146.08,149.78,1824460
2024-07-19,151.7,152.39,150.35,150.51,1456662
2024-07-22,154.44,155.92,152.54,153.55,1255019
2024-07-23,152.43,156.2,151.02,153.5,687808
