Date,Open,High,Low,Close,Volume
2024-04-12,323.0,328.41,315.4,322.4,672339
2024-04-15,324.73,329.71,320.92,326.62,980442
2024-04-16,325.51,330.51,327.17,328.03,1238918
2024-04-17,329.26,329.94,325.96,326.19,425419
2024-04-18,326.58,336.47,328.57,329.73,1509111
2024-04-19,335.86,341.6,326.41,333.84,675016
2024-04-22,337.69,340.34,335.32,335.76,1358506
2024-04-23,329.51,336.32,326.08,330.85,400737
2024-04-24,330.15,340.08,324.33,332.57,1407423
2024-04-25,337.39,340.64,335.06,339.8,343557
2024-04-26,337.56,338.18,328.21,336.23,908177
2024-04-29,350.0,355.19,345.02,349.0,569691
2024-04-30,347.74,352.9,340.06,345.78,1521912
2024-05-01,349.08,353.46,341.49,346.05,597866
2024-05-02,343.25,345.49,338.63,341.94,1775262
2024-05-03,341.03,344.16,342.26,343.39,1794458
2024-05-06,330.99,336.34,329.89,332.7,473238
2024-05-07,331.76,331.4,324.84,329.5,1266307
2024-05-08,321.21,325.44,321.63,323.09,266663
2024-05-09,321.18,330.2,323.19,323.95,843920
2024-05-10,331.16,330.44,322.56,329.82,1455311
2024-05-13,333.08,340.63,329.82,333.73,1352904
2024-05-14,322.24,322.98,313.84,319.56,1286931
2024-05-15,332.37,336.31,323.48,331.37,636827
2024-05-16,330.48,333.96,330.45,333.21,818247
2024-05-17,331.56,331.39,327.49,328.62,295597
2024-05-20,328.04,330.37,322.73,329.63,1466143
2024-05-21,329.66,338.69,329.19,330.74,1057388
2024-05-22,326.21,333.45,325.65,326.85,1446654
2024-05-23,325.14,331.85,327.38,328.08,572992
2024-05-24,324.55,326.38,318.61,324.57,716432
2024-05-27,319.85,329.8,321.51,322.28,735009
2024-05-28,317.74,321.11,312.96,318.37,148910
2024-05-29,309.3,311.48,306.76,310.23,747990
2024-05-30,312.81,315.49,303.73,311.11,1626278
2024-05-31,316.36,321.87,306.93,314.45,1804867
2024-06-03,315.24,317.47,315.22,317.44,1084614
2024-06-04,321.33,324.11,317.72,322.19,965453
2024-06-05,323.33,331.75,318.12,324.15,158566
2024-06-06,318.87,322.48,314.61,321.11,1770488
2024-06-07,327.98,326.95,323.34,326.03,124719
2024-06-10,319.46,322.67,310.19,318.14,1895025
