Date,Open,High,Low,Close,Volume
2024-04-12,72.18,73.18,72.0,72.09,1562518
2024-04-15,72.08,72.19,71.68,71.9,1953279
2024-04-16,73.92,73.82,73.22,73.39,1189770
2024-04-17,71.09,71.01,70.95,70.97,749118
2024-04-18,72.73,74.13,71.17,72.61,1332082
2024-04-19,71.77,72.8,69.92,71.07,230037
2024-04-22,71.15,71.03,70.2,70.79,1805054
2024-04-23,70.26,70.75,69.43,70.34,326823
2024-04-24,71.26,72.51,69.94,70.97,722901
2024-04-25,69.13,70.88,68.17,69.28,1649916
2024-04-26,69.39,70.5,69.06,69.77,1234893
2024-04-29,72.04,71.99,71.14,71.9,847907
2024-04-30,71.03,70.5,68.95,70.43,999527
2024-05-01,71.25,71.65,69.71,70.64,1723640
2024-05-02,69.73,70.64,69.17,69.95,746008
2024-05-03,70.45,70.46,69.65,70.41,1752334
2024-05-06,70.02,71.46,69.04,70.43,267455
2024-05-07,70.45,69.78,69.31,69.76,1575917
2024-05-08,70.96,71.66,68.57,70.28,1710340
2024-05-09,72.41,72.74,71.03,72.19,445453
2024-05-10,72.44,72.07,71.6,72.0,917658
2024-05-13,73.09,73.85,71.99,72.78,414449
2024-05-14,71.51,72.09,70.06,71.38,1442547
2024-05-15,69.73,72.07,69.82,70.36,1117160
2024-05-16,70.81,71.83,70.1,70.87,1307114
2024-05-17,72.71,72.96,72.09,72.46,473325
2024-05-20,73.11,74.14,72.37,72.85,502317
2024-05-21,72.34,73.01,71.81,72.52,178844
2024-05-22,73.17,74.17,71.6,72.53,711928
2024-05-23,70.71,71.85,69.64,71.18,1163514
2024-05-24,71.83,72.82,70.5,71.83,1730076
2024-05-27,73.07,72.88,71.73,72.79,1367162
2024-05-28,72.59,73.07,71.58,72.3,927253
2024-05-29,72.01,73.29,70.93,71.8,1910928
2024-05-30,71.78,73.55,70.82,72.1,1466565
2024-05-31,71.14,72.03,69.85,71.63,1867313
2024-06-03,71.76,71.97,70.67,71.57,1102417
2024-06-04,73.98,75.34,72.51,73.83,591918
2024-06-05,73.1,75.28,73.08,73.57,200370
2024-06-06,73.48,73.35,71.39,73.18,1479561
2024-06-07,72.42,73.3,71.73,72.48,330475
2024-06-10,73.55,73.92,73.19,73.3,675272
2024-06-11,73.6,74.7,71.6,73.11,1111694
2024-06-12,71.92,72.55,71.44,72.4,1172391
2024-06-13,73.14,74.24,72.17,73.85,1241108
2024-06-14,75.85,76.85,74.72,75.43,415885
2024-06-17,74.92,74.86,73.92,74.76,821501
2024-06-18,72.97,73.57,71.6,72.68,1272669
2024-06-19,74.28,74.6,72.9,73.78,1942655
2024-06-20,73.47,73.64,72.84,73.03,1482499
2024-06-21,74.59,74.64,72.42,73.91,1852947
2024-06-24,71.78,72.68,69.98,71.73,1548202
2024-06-25,72.68,72.99,72.45,72.7,1224262
2024-06-26,71.25,72.41,70.64,71.39,464844
2024-06-27,71.68,73.63,71.98,72.18,1366702
2024-06-28,72.31,73.58,71.48,72.21,1284421
2024-07-01,70.86,71.45,70.84,71.18,1244691
2024-07-02,71.35,71.01,69.74,70.75,1030593
